Type,Value,Voltage,Footprint
C,4.7uF,10V,0603
C,10uF,10V,0603
C,2.2uF,10V,0603
C,2.2nF,50V,0603
C,10uF,16V,0805
C,100nF,16V,0402
C,1nF,50V,0402
C,1uF,10V,0402
C,15pF,50V,0402
C,2.5pF,50V,0402
C,0.5pF,50V,0402
C,1.5pF,50V,0402
C,5.6pF,50V,0402
C,220pF,50V,0402
C,470pF,50V,0402
C,10nF,50V,0402
C,220nF,10V,0402
C,2.2nF,50V,0402
C,22nF,16V,0402
R,1MΩ,50V,0402
R,2.2Ω,50V,0402
R,5.1kΩ,50V,0402
R,100kΩ,50V,0402
R,47kΩ,50V,0402
R,150kΩ,50V,0402
R,10kΩ,50V,0402
R,1kΩ,50V,0402
R,2.2kΩ,50V,0402
R,0Ω,50V,0402
