LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C20613188,SIM302-CWB6AH1.35,XYECONN,,SMD,-25℃~+85℃ Push-Pull 1.35mm Connector and Ejector Nano-SIM Card SMD PC Card Sockets ROHS,YES,20,0.1802,3.60,,,-
C134407,BAT54CT-7-F,DIODES,,SOT-523-3,600mA 1 Pair Common Cathode 30V 1V@100mA 200mA SOT-523-3 Single Diodes ROHS,YES,20,0.0448,0.90,,,-
C60105,19-237/R6GHBHC-A01/2T,EVERLIGHT,,"SMD-4P,1.6x1.6mm","SMD-4P,1.6x1.6mm LED Indication - Discrete ROHS",YES,20,0.0682,1.36,,,-
C167766,FNR3015S470MT,cjiang,,"SMD,3x3mm","440mA 47uH Magnetic Shielded Inductor ±20% 430mA 1.625Ω SMD,3x3mm Fixed Inductors ROHS",YES,20,0.0735,1.47,,,-
C315717,WIP201610P-2R2ML,INPAQ,,0806,1.7A 2.2uH ±20% 135mΩ 0806 Fixed Inductors ROHS,YES,40,0.0213,0.85,,,-
C337873,BLM15AX121SN1D,muRata,,0402,130mΩ ±25% 120Ω@100MHz 0402 Ferrite Beads and Chips ROHS,YES,100,0.0076,0.76,,,-
C315720,MIP25203R3MBE,INPAQ,,1008,1.2A 3.3uH ±20% 100mΩ 1008 Fixed Inductors ROHS,YES,20,0.036,0.72,,,-
C389571,LFD182G45DCJD247,muRata,,"SMD-6P,1.6x0.8mm","SMD-6P,1.6x0.8mm RF Multiplexers ROHS",YES,10,0.0831,0.83,,,-
C3001677,DMN3730UFB-7,DIODES,,X1-DFN1006-3,"30V 910mA 730mΩ@1.8V 690mW 950mV@250uA 1 N-Channel X1-DFN1006-3 Single FETs, MOSFETs ROHS",YES,10,0.1346,1.35,,,-
C457657,FSA2466UMX,onsemi,,UFQFN-16(1.8x2.6),"2 2Ω 2:1 UFQFN-16(1.8x2.6) Analog Switches, Multiplexers, Demultiplexers ROHS",YES,10,0.3444,3.44,,,-
C2872421,SN74LVC1G11DRYR,TI,,SON-6(1x1.5),"3.5ns@5V,50pF 1.65V~5.5V 10uA AND Gate SON-6(1x1.5) Gates and Inverters ROHS",YES,10,0.1794,1.79,,,-
C910544,MAX98357AETE+T,MAXIM,,TQFN-16-EP(3x3),2.4mA 3.2W×1@4Ω Class D TQFN-16-EP(3x3) Audio Amplifiers ROHS,YES,10,1.1428,11.43,,,-
C5125911,AW35122FDR,AWINIC(Shanghai Awinic Tech),,FCDFN-4L(1x1),"1 1.5A Active High High Side Switch FCDFN-4L(1x1) Power Distribution Switches, Load Drivers ROHS",YES,20,0.0903,1.81,,,-
C337601,8Z40000017,TXC,,SMD2520-4P,Crystal Oscillator 12pF SMD2520-4P Crystals ROHS,YES,5,0.2059,1.03,,,-
C5213757,HC-FPC-05-09-24RLTAG,HCTL,,"SMD,P=0.5mm,Surface Mount,Right Angle","-55℃~+85℃ Hinged Lid 24P 0.5mm Double-Sided Contacts, Top and Bottom Entry Surface Mount, Right Angle SMD,P=0.5mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS",YES,20,0.1722,3.44,,,-
